osu file format v14

[General]
AudioFilename: audio.mp3
AudioLeadIn: 0
PreviewTime: -1
Countdown: 0
SampleSet: Normal
StackLeniency: 0.7
Mode: 3
LetterboxInBreaks: 0
SpecialStyle: 0
WidescreenStoryboard: 0

[Editor]
DistanceSpacing: 0.8
BeatDivisor: 1
GridSize: 32
TimelineZoom: 1

[Metadata]
Title:T.A.N.K
TitleUnicode:T.A.N.K
Artist:David Fau
ArtistUnicode:David Fau
Creator:Yuusa
Version:Normal
Source:
Tags:
BeatmapID:0
BeatmapSetID:-1

[Difficulty]
HPDrainRate:5
CircleSize:4
OverallDifficulty:5
ApproachRate:5
SliderMultiplier:1.4
SliderTickRate:1

[Events]
//Background and Video events
//Break Periods
//Storyboard Layer 0 (Background)
//Storyboard Layer 1 (Fail)
//Storyboard Layer 2 (Pass)
//Storyboard Layer 3 (Foreground)
//Storyboard Layer 4 (Overlay)
//Storyboard Sound Samples

[TimingPoints]
0,215.439856373429,4,1,0,100,1,0


[HitObjects]
64,192,861,5,0,0:0:0:0:
64,192,1292,1,0,0:0:0:0:
64,192,1508,1,0,0:0:0:0:
64,192,1723,1,0,0:0:0:0:
64,192,1938,1,0,0:0:0:0:
51,192,2154,1,0,0:0:0:0:
51,192,2585,1,0,0:0:0:0:
51,192,3016,1,0,0:0:0:0:
51,192,3231,1,0,0:0:0:0:
51,192,3447,1,0,0:0:0:0:
51,192,3662,1,0,0:0:0:0:
51,192,3877,1,0,0:0:0:0:
51,192,4308,1,0,0:0:0:0:
51,192,4739,1,0,0:0:0:0:
51,192,4955,1,0,0:0:0:0:
51,192,5170,1,0,0:0:0:0:
51,192,5385,1,0,0:0:0:0:
64,192,5601,1,0,0:0:0:0:
51,192,6032,1,0,0:0:0:0:
51,192,6463,1,0,0:0:0:0:
51,192,6678,1,0,0:0:0:0:
51,192,6894,1,0,0:0:0:0:
51,192,7109,1,0,0:0:0:0:
51,192,7324,1,0,0:0:0:0:
51,192,7755,1,0,0:0:0:0:
64,192,8186,1,0,0:0:0:0:
51,192,8402,1,0,0:0:0:0:
51,192,8617,1,0,0:0:0:0:
51,192,8833,1,0,0:0:0:0:
51,192,9048,1,0,0:0:0:0:
51,192,9479,1,0,0:0:0:0:
64,192,9910,1,0,0:0:0:0:
51,192,10125,1,0,0:0:0:0:
51,192,10341,1,0,0:0:0:0:
51,192,10556,1,0,0:0:0:0:
51,192,10771,1,0,0:0:0:0:
51,192,11202,1,0,0:0:0:0:
64,192,11633,1,0,0:0:0:0:
51,192,11849,1,0,0:0:0:0:
51,192,12064,1,0,0:0:0:0:
51,192,12280,1,0,0:0:0:0:
